sat,rank,satobs,mlhs,mcol,flhs,fcol,black,hisp,asian,female,rdsc,vocab,pict,lgsc,matsc,mosaic,nsib
0,1,0,0,1,1,0,0,1,0,0,29,42,29,26,35,26,5
0,65,0,0,0,1,0,0,0,0,1,46,48,58,53,42,43,1
0,25,0,0,0,0,0,0,0,0,0,60,48,40,55,59,42,7
0,16,0,0,0,0,0,0,1,0,0,64,45,45,58,62,54,4
0,34,0,0,0,0,0,0,0,0,0,56,51,43,59,56,47,5
940,81,1,0,1,0,1,0,0,0,1,68,66,48,55,56,57,3
0,62,0,0,1,0,1,0,0,0,0,61,69,37,59,64,52,3
0,34,0,0,0,0,0,0,1,0,1,55,51,38,59,53,45,2
0,18,0,1,0,1,0,0,0,0,1,37,42,48,47,33,54,5
0,29,0,1,0,1,0,0,0,0,0,36,39,43,36,49,32,2
780,26,1,0,0,0,1,0,0,0,1,44,48,39,60,55,54,1
1280,81,1,0,0,0,0,0,0,0,0,66,63,61,65,65,51,2
0,56,0,1,0,0,0,1,0,0,0,37,42,43,46,40,40,1
0,24,0,0,1,0,0,0,0,0,0,58,49,60,62,67,59,3
0,64,0,0,1,0,0,0,0,1,0,27,30,33,18,33,36,7
0,46,0,1,0,1,0,0,0,0,0,54,39,31,49,53,57,0
0,44,0,1,0,1,0,0,0,0,0,56,49,30,52,48,48,5
900,46,1,1,0,0,0,0,0,0,1,52,58,55,48,47,39,6
0,87,0,0,0,0,0,0,0,0,1,66,60,64,59,56,51,1
0,66,0,0,0,0,0,0,0,0,1,56,51,61,61,46,60,3
0,68,0,1,0,0,0,0,0,0,1,54,45,49,65,53,65,3
0,66,0,1,0,1,0,0,0,0,1,54,45,62,58,51,25,2
0,51,0,0,0,0,0,0,0,0,0,50,44,45,58,44,48,1
950,43,1,0,1,0,0,0,0,0,0,54,58,53,62,58,49,0
0,49,0,0,1,0,1,0,0,0,0,42,39,66,57,51,63,4
0,48,0,1,0,0,0,0,0,0,1,44,45,56,53,47,57,1
0,98,0,0,1,0,1,0,0,0,1,66,57,66,65,67,73,2
0,35,0,0,1,0,1,0,0,0,1,42,54,56,47,42,47,5
0,25,0,1,0,1,0,0,0,0,1,54,39,50,45,46,50,4
0,28,0,0,1,0,1,0,0,0,1,39,43,29,47,35,52,3
780,87,1,0,1,0,0,0,0,0,1,58,47,52,52,56,52,2
0,43,0,1,0,1,0,0,1,0,1,44,36,41,55,42,44,4
0,88,0,1,0,0,1,0,0,0,1,56,61,48,65,53,58,2
0,84,0,0,0,0,0,0,0,0,1,59,63,61,61,55,57,3
0,68,0,1,0,1,0,0,0,0,0,59,42,44,61,60,53,2
0,70,0,1,0,0,1,0,0,0,1,49,39,43,57,37,50,1
1130,95,1,0,1,0,1,0,0,0,1,61,60,51,58,65,48,3
0,58,0,1,0,0,0,0,0,0,0,54,51,39,44,45,37,5
0,73,0,0,0,0,1,0,0,0,1,57,48,54,59,56,52,2
1350,37,1,0,1,0,1,0,0,0,0,71,72,38,59,58,41,4
690,41,1,1,0,1,0,1,0,0,1,49,42,40,43,42,42,11
0,0,0,0,1,0,1,0,0,0,1,32,44,37,52,40,44,4
0,83,0,0,0,0,1,0,0,0,1,46,57,52,40,47,56,2
0,90,0,0,1,0,1,0,0,0,1,51,57,64,61,58,54,5
930,85,1,1,0,0,0,0,0,0,1,59,61,57,62,56,53,3
0,47,0,1,0,1,0,1,0,0,0,49,42,32,40,42,42,10
0,92,0,0,0,0,1,0,0,0,1,59,72,43,61,57,57,3
0,42,0,0,1,0,1,0,0,0,0,44,60,51,47,45,41,7
820,59,1,0,1,0,1,0,0,0,1,51,55,51,57,45,51,4
0,32,0,0,0,0,0,0,0,0,0,45,46,44,62,51,54,1
0,26,0,1,0,1,0,1,0,0,1,34,33,35,36,38,35,8
0,31,0,0,0,0,1,0,0,0,0,49,48,39,49,44,51,3
0,84,0,1,0,1,0,0,1,0,1,44,39,46,50,46,92,6
0,54,0,0,0,0,0,0,0,0,0,61,63,50,60,64,55,1
0,39,0,0,1,0,1,0,0,0,0,54,57,47,47,64,48,1
0,53,0,0,1,1,0,0,0,0,0,42,39,56,40,47,37,1
0,37,0,0,0,1,0,1,0,0,1,42,39,50,51,35,61,4
660,69,1,1,0,0,0,0,0,0,1,38,39,51,61,48,57,0
0,9,0,1,0,1,0,0,0,0,0,43,45,48,45,44,41,0
960,53,1,0,1,0,1,0,0,0,0,54,63,50,63,60,53,6
0,49,0,1,0,1,0,1,0,0,0,56,51,56,53,53,54,5
790,58,1,1,0,1,0,0,0,0,1,47,48,62,58,51,44,4
0,35,0,0,0,0,0,0,0,0,1,42,48,48,37,49,48,1
0,80,0,0,1,1,0,0,0,0,1,64,60,41,54,62,59,4
850,61,1,0,0,0,1,0,0,0,1,56,58,51,62,57,52,1
620,65,1,1,0,1,0,1,0,0,1,49,37,37,51,47,41,2
860,98,1,1,0,0,0,1,0,0,1,47,54,59,44,47,34,8
0,71,0,1,0,1,0,0,1,0,1,44,42,51,55,51,45,5
1200,90,1,0,1,1,0,0,0,0,0,59,54,64,65,67,58,1
660,32,1,1,0,1,0,0,0,0,1,46,30,41,57,49,56,1
0,75,0,0,0,0,0,0,0,0,1,59,55,59,59,57,90,2
0,34,0,0,0,1,0,1,0,0,1,49,54,48,44,50,49,5
840,91,1,0,0,1,0,1,0,0,1,55,61,61,57,46,57,0
0,91,0,0,1,0,0,0,1,0,1,39,45,60,38,29,70,4
850,29,1,0,1,0,1,0,0,0,1,68,57,40,49,65,43,7
0,18,0,0,0,0,0,0,0,0,1,33,45,39,49,45,44,7
0,49,0,1,0,1,0,0,0,0,0,49,39,43,48,44,65,3
840,51,1,0,0,0,1,0,0,0,0,59,57,52,62,49,45,1
0,68,0,1,0,1,0,1,0,0,0,46,47,46,52,47,43,8
0,22,0,0,0,0,0,0,1,0,0,47,45,45,44,40,29,2
0,53,0,1,0,1,0,0,0,0,1,64,69,57,58,51,56,6
0,4,0,1,0,1,0,1,0,0,0,30,39,32,34,37,32,8
0,39,0,0,0,1,0,0,0,0,0,37,42,52,40,46,48,2
640,66,1,0,0,1,0,0,0,0,1,54,42,52,45,49,56,8
0,83,0,0,0,1,0,0,0,0,1,49,54,62,50,51,50,3
0,8,0,1,0,1,0,0,0,0,0,32,42,43,26,40,42,11
0,76,0,0,0,1,0,0,1,0,0,49,39,61,51,62,45,10
0,49,0,0,0,0,0,0,0,0,0,34,36,48,37,35,46,3
0,15,0,0,0,0,0,0,0,0,0,49,50,36,49,55,49,4
0,13,0,0,0,0,1,0,0,0,0,46,48,44,42,42,45,2
0,91,0,0,1,0,1,0,0,0,0,59,42,66,57,67,52,3
0,99,0,0,0,0,0,0,0,0,1,59,58,66,50,65,45,4
820,41,1,0,1,0,1,0,0,0,0,49,52,39,45,48,55,2
1140,96,1,0,1,0,1,0,0,0,1,59,66,64,57,67,45,2
0,70,0,0,1,1,0,0,0,0,0,59,66,60,53,62,54,5
0,35,0,0,0,0,0,1,0,0,1,51,44,35,40,46,43,3
0,62,0,1,0,0,0,0,0,0,1,49,48,57,49,56,52,2
0,28,0,0,1,1,0,0,0,0,1,51,49,59,48,46,57,1
0,79,0,0,0,0,1,0,0,0,0,60,54,63,60,53,56,3
0,36,0,1,0,0,0,0,0,0,0,44,34,65,47,49,60,5
890,88,1,0,1,0,1,0,0,0,1,64,69,54,57,58,48,1
880,83,1,0,0,0,1,0,0,0,1,66,60,63,60,43,67,1
1110,58,1,1,0,0,0,0,0,0,0,54,63,61,59,64,62,1
0,3,0,0,0,0,1,0,0,0,0,36,42,54,32,51,38,2
0,20,0,0,0,1,0,0,0,0,0,54,54,54,53,51,55,4
680,26,1,0,1,0,0,0,0,0,0,52,49,44,51,51,48,2
1090,80,1,0,1,0,1,0,0,0,1,68,69,58,57,58,53,1
0,49,0,0,1,0,1,0,0,0,1,42,43,50,49,55,51,7
0,3,0,1,0,1,0,0,0,0,0,61,57,64,26,49,34,4
0,49,0,0,0,1,0,0,0,0,1,51,45,64,52,58,54,4
0,46,0,0,0,0,1,0,0,0,1,56,49,50,54,58,51,2
0,76,0,1,0,0,0,0,0,0,0,56,60,63,64,65,44,2
970,81,1,0,1,0,1,0,0,0,1,66,58,66,53,55,46,2
930,81,1,0,1,0,1,0,0,0,1,44,54,59,61,53,65,3
0,66,0,0,0,0,0,0,0,0,1,39,51,40,36,44,52,2
890,78,1,0,0,1,0,0,0,0,0,64,60,61,62,53,54,1
0,18,0,0,0,0,0,0,0,0,0,57,46,44,55,53,47,4
0,3,0,0,0,0,0,0,0,0,0,32,42,45,41,28,35,2
0,98,0,0,1,0,0,0,0,0,1,42,54,65,55,55,59,0
0,68,0,0,1,0,1,0,0,0,1,56,60,64,60,64,59,3
0,68,0,0,1,0,1,0,0,0,0,50,66,41,52,50,52,4
810,79,1,0,0,1,0,0,0,0,1,62,53,45,57,47,53,4
0,38,0,0,0,0,0,0,0,0,0,64,69,46,54,64,49,6
0,68,0,1,0,0,0,0,0,0,1,51,51,64,60,47,61,2
0,68,0,0,0,0,1,0,0,0,1,59,54,38,61,53,49,3
990,25,1,0,0,0,0,0,0,0,0,59,58,56,55,62,54,1
0,57,0,1,0,0,1,0,0,0,0,51,39,61,38,49,51,4
1140,55,1,0,1,0,1,0,0,0,0,66,66,53,51,64,50,5
0,75,0,0,0,0,0,0,0,0,1,51,55,56,54,58,55,2
0,78,0,0,0,1,0,0,0,0,1,46,48,64,47,62,50,2
0,82,0,0,0,0,0,0,0,0,1,61,54,47,60,62,71,3
0,48,0,0,0,0,0,0,0,0,0,59,51,53,48,51,53,1
840,68,1,0,0,0,1,0,0,0,0,49,39,43,45,51,49,4
1230,70,1,0,1,0,1,0,0,0,0,59,66,60,64,65,58,2
940,36,1,1,0,1,0,0,0,0,1,56,54,50,55,53,44,1
1240,99,1,0,1,0,1,0,0,0,0,59,66,34,65,65,59,3
0,28,0,1,0,0,1,0,0,0,0,49,42,55,36,47,58,3
0,13,0,0,0,1,0,0,0,0,0,38,36,35,28,46,52,4
