SHEET,CHAIN,CO_OWNED,STATE,SOUTHJ,CENTRALJ,NORTHJ,PA1,PA2,SHORE,NCALLS,EMPFT,EMPPT,NMGRS,WAGE_ST,INCTIME,FIRSTINC,BONUS,PCTAFF,MEALS,OPEN,HRSOPEN,PSODA,PFRY,PENTREE,NREGS,NREGS11,TYPE2,STATUS2,DATE2,NCALLS2,EMPFT2,EMPPT2,NMGRS2,WAGE_ST2,INCTIME2,FIRSTIN2,SPECIAL2,MEALS2,OPEN2R,HRSOPEN2,PSODA2,PFRY2,PENTREE2,NREGS2,NREGS112
46,1,0,0,0,0,0,1,0,0,0,30,15,3,,19,,1,,2,6.5,16.5,1.03,1.03,0.52,3,3,1,1,111792,1,3.5,35,3,4.3,26,0.08,1,2,6.5,16.5,1.03,,0.94,4,4
101,3,0,1,0,1,0,0,0,1,3,4.5,15,3,4.75,26,0.15,0,80,2,7,15,1.2,1.18,1.06,6,4,1,1,111392,,10,12,3,5.05,26,0.15,0,2,7,15,1.15,1.1,1.05,8,3
102,3,0,1,1,0,0,0,0,0,2,12,13,3,4.4,52,0.2,0,15,2,7,16,1.06,0.91,1.07,6,4,1,1,111392,,0,27,2,5.05,52,0.25,0,2,7,15,1.07,1.01,1.05,5,5
103,4,0,1,0,0,1,0,0,0,2,12.5,10,3,5,26,0.27,0,50,2,10.5,11.5,0.91,0.85,0.95,2,2,1,1,111492,2,,,2,5.05,13,,0,2,10.5,12.5,1.05,0.84,1.26,2,2
104,4,0,1,0,1,0,0,0,1,0,40,20,3,4.62,4,0.32,1,50,2,10.5,11.5,0.95,0.84,0.94,2,2,1,1,111492,1,11,10,3,5.05,26,0.08,1,2,10.5,12.5,1,0.84,0.94,2,2
105,1,0,1,0,0,1,0,0,0,2,0,40,4,4.25,10,,0,50,2,6.5,16.5,0.96,1,1.03,4,2,1,1,111092,,0,45,4,5.05,13,0.25,0,2,6.5,16.5,1.05,0.99,1.16,4,3
106,1,0,1,0,0,1,0,0,0,0,0,35,3,4.25,26,0.27,0,65,3,7,16,1.06,0.95,0.95,2,1,1,1,111092,,2,25,3,5.05,26,0.2,0,0,7,16,1.05,0.95,0.95,2,2
107,1,1,1,0,0,1,0,0,0,0,6,11,3,4.25,8,0.32,0,40,1,8,14.5,1.17,0.95,0.95,3,3,2,1,123092,9,13.5,10,2,5.05,,,0,1,8,14,,1.01,1,4,2
108,1,0,1,0,0,1,0,0,0,2,13.5,15,4,4.25,26,0.37,1,6,1,7,17,1.27,1.01,1.06,3,3,1,1,111692,,11,24,5,5.05,26,0.15,0,1,7,17,1.37,1.02,1.05,3,3
111,3,0,1,0,0,1,0,0,0,0,17,14,3,4.25,2,0.42,0,55,3,7,16,1.17,1.06,1.01,5,5,1,1,111892,1,20,14.5,3,5.05,26,,0,2,7,16,1.16,1.16,1,5,4
112,4,0,1,0,0,1,0,0,0,0,4,26,3,5,13,0.2,0,80,2,10,14,1.06,0.98,1.06,2,2,2,1,121392,9,5,25,6,5.05,28,0.18,0,2,10.5,12.5,1.11,1.09,2.07,,
113,1,0,1,0,1,0,0,0,0,0,0,22,4,,,,1,,2,7,16,1.06,0.95,1,4,,1,1,111092,,2,40,5,5.05,26,0.28,1,2,7,16,1.05,0.9,0.98,3,2
114,1,0,1,0,1,0,0,0,0,2,0,35,5,4.75,26,0.57,1,50,2,7,16,1.07,0.95,0.95,3,,1,1,111792,1,20,40,4,5.25,26,0.25,0,2,6.5,16.5,1.11,0.94,0.94,3,3
115,1,0,1,0,1,0,0,0,0,0,20,25,4,4.75,4,0.3,0,25,1,7,17,1.06,0.95,1.06,4,3,1,1,111092,,6,15,4,5.05,,,,1,7,17,1.05,0.95,1.01,4,4
116,1,0,1,0,1,0,0,0,0,0,4,22.5,2,4.25,18,0.37,0,90,2,8.5,13,1.49,1.02,1.11,7,3,1,1,111092,,22,12,3,5.05,13,0.45,1,2,8.5,13,1.39,0.95,1.21,8,2
118,1,0,1,0,0,1,0,0,0,3,10,15,4,4.25,26,0.15,0,70,2,7,15,1.06,0.95,1.01,4,2,1,1,111692,,18,20,3,5.05,26,0.38,0,2,7,15,1.05,0.94,1,4,2
119,1,0,1,0,0,1,0,0,0,2,12,19,3,4.75,13,0.27,1,50,3,6.5,16.5,1.06,0.91,0.95,3,3,1,1,111692,1,18,13,4,5.05,26,,0,3,6.5,17.5,1.05,0.89,0.95,3,3
120,1,1,1,0,1,0,0,0,0,3,0,32,3,4.5,,,0,,2,7,16,1.13,0.98,1.04,3,2,1,1,111992,3,0,30,4,5.05,,,0,2,7,16,1.05,1.05,1.05,3,2
122,1,0,1,0,0,1,0,0,0,0,1,38,5,4.25,4,0.2,0,70,1,9,12.5,,1.12,1.12,5,3,1,1,111092,,10,50,6,5.05,26,0.1,0,1,9,12.5,1.15,0.94,1.15,6,4
123,1,0,1,0,1,0,0,0,0,0,0,20,5,,13,,0,28,2,7,14.5,1.06,0.95,1.01,2,1,1,1,111092,,5,25,4,5.05,26,0.15,0,3,7.5,14,1.05,0.94,1,3,2
124,1,0,1,0,1,0,0,0,0,1,8,10,3,4.25,13,0.25,0,14,2,8,15,1.06,0.91,1.04,2,2,1,1,111092,,21,6,4,5.05,13,0.5,1,3,7,15,1.16,0.94,1.12,2,2
125,2,0,1,0,1,0,0,0,0,0,15,0,4,4.5,26,0.25,0,100,1,10,12.5,0.91,0.85,2.34,3,2,1,1,111492,,0,15,2,5.05,52,0.4,0,1,10,12,1.01,1.01,2.49,4,3
128,2,1,1,0,1,0,0,0,0,3,6.5,7.5,2,5,,0.15,0,,2,11,11,1.06,0.85,2.34,4,2,1,1,111492,1,3,16,2,5.05,26,0.25,0,1,11,11,1.05,0.79,2.32,3,2
129,3,0,1,0,1,0,0,0,0,3,20,20,3,5.25,26,0.05,0,0,2,6,16,1.1,1,0.74,6,4,1,1,111392,,7,18,4,5.05,52,0.25,0,2,6,16,1.11,1,0.89,4,3
130,3,1,1,0,1,0,0,0,0,2,7,25.5,3,4.5,19,0.3,0,15,2,5,18,1.12,1.07,1,4,3,2,1,122192,6,2,38,4,5.05,4,0.15,0,2,7,16,1.11,1.06,1.05,5,3
131,3,0,1,0,1,0,0,0,0,2,15,25,4,5.5,4,0.37,1,10,2,6,17,1.06,1.06,1.06,5,2,2,1,121692,2,8,22,3,5.05,,,0,2,7,15,1.05,1.11,1.05,5,4
132,3,1,1,0,1,0,0,0,0,0,20,20,5,4.5,26,0.25,0,80,2,0,24,1.28,1.06,2.3,5,3,1,1,111692,,15,20,3,5.5,52,0.25,0,2,7,14,,,,2,2
133,3,1,1,0,1,0,0,0,0,0,6,16,2,4.75,26,,0,99,2,6,17,1.12,1.07,1.06,4,3,1,1,111392,,3,20,3,5.05,26,,0,2,7,15,1.11,1.06,2.11,5,3
134,3,0,1,0,1,0,0,0,0,2,5.5,25,3,4.62,,,0,42,2,6,16,1.09,,0.95,4,3,1,1,111392,,6,27.5,3,5.05,52,0.25,0,2,6,16,1.11,1.06,0.94,4,3
135,3,0,1,0,1,0,0,0,0,0,10,20,4,,26,,0,,0,9,12.5,,,,5,3,1,1,111692,,8,24,3,5.05,,0.25,0,2,10,11.5,1.16,1.06,1.05,5,3
136,3,1,1,0,1,0,0,0,0,2,14.5,14.5,5,4.25,21,0.27,0,5,2,6,17,1.12,1.07,1.1,5,4,2,0,121692,3,,,,,,,,,7,16,,,,,
137,3,1,1,0,0,1,0,0,0,3,15,25,3,4.25,26,0.15,0,50,2,6,16,1.12,1.06,1.02,6,4,1,1,111692,1,12,30,5,5.05,26,0.25,0,2,7,15,1.11,1.11,1.05,5,3
138,3,1,1,0,0,1,0,0,0,0,4.5,25.5,2,,,,1,,2,10,11.5,1.12,1.07,1.06,6,,1,1,111692,,2,33,3,5.05,26,0.2,0,2,10,11.5,1.21,1.01,0.94,6,4
139,4,0,1,0,1,0,0,0,0,0,,,2,5.5,,,0,,2,10.5,12.5,0.95,0.95,1.06,2,1,1,1,111492,,11,25,5,5.5,19,0.25,1,2,11,12,,,,,
