StAlphCd,CDNumAtL,YearElec,Ob,Use,CngrsNum,StICPSR,StPOAbrv,DifDPct,DemPct,DemWin,DWinPrv,DWinNxt,DifPVDec,OpenSeat,IncStatus,PrvTrmsD,PrvTrmsO,VoteTotW,VoteTotL,VoteCast,SoSDem,PrvElcOb,NxtElcOb,DemInc,DemOpen,NonDInc,NonDOpen,DExpAdv,RExpAdv,ForgnPct,GovWkPct,BlackPct,UrbanPct,VtTotPct,DPctNxt,DifDPNxt,DPctPrv,DifDPPrv,ElcSwing,GovDem,IncDWNOM1,DSpndPct,DDonaPct,CQRating3
1,1,1932,1,0,73,41,AL,,,,,,,,NA,,,,,,,,,,,,,,,,,,,23.88,,,,,,,,,,
1,1,1934,2,0,74,41,AL,,,,,,,,NA,,,,,,,1,3,,,,,,,,,,,34.52,,,,,,,-0.395999998,,,
1,1,1936,3,0,75,41,AL,,,,,,,,NA,,,,,,,2,4,,,,,,,,,,,41.57,,,,,,,-0.035999998,,,
1,1,1938,4,0,76,41,AL,,,,,,,,NA,,,,,,,3,5,,,,,,,,,,,40.53,,,,,,,-0.035,,,
1,1,1940,5,0,77,41,AL,,,,,1,,,NA,,,,,,,4,6,,,,,,,,,,,45.33,,,,,,,-0.033,,,
1,1,1942,6,0,78,41,AL,,,1,,1,0.728686279,,NA,4,,5600,,5600,1,5,7,,,,,,,0.005714804,0.724435495,48.76577034,29.89884796,78.18,,,,,,1,-0.032000002,,,
1,1,1944,7,0,79,41,AL,,,1,1,1,0.728686279,,NA,5,,19082,,19082,1,6,8,,,,,,,0.005714804,0.724435495,48.76577034,29.89884796,11,100,100,,,-2.479144594,1,-0.029999999,,,
1,1,1946,8,1,80,41,AL,100,100,1,1,1,0.728686279,0,Democratic incumbent,6,,12448,,12448,1,7,9,,0,,0,1,0,0.005714804,0.724435495,48.76577034,29.89884796,23.88,100,100,,,1.188312995,1,-0.028999999,,,
1,1,1948,9,1,81,41,AL,100,100,1,1,1,0.728686279,0,Democratic incumbent,7,,19778,,19778,1,8,10,1,0,0,0,1,0,0.005714804,0.724435495,48.76577034,29.89884796,34.52,100,100,100,100,10.24988897,1,-0.027000001,,,
1,1,1950,10,1,82,41,AL,100,100,1,1,1,0.728686279,0,Democratic incumbent,8,,14206,,14206,1,9,11,1,0,0,0,1,0,0.005714804,0.724435495,48.76577034,29.89884796,41.57,100,100,100,100,-0.020519355,1,-0.026000001,,,
1,1,1952,11,1,83,41,AL,100,100,1,1,1,0.105,0,Democratic incumbent,9,,30758,,30758,1,10,12,1,0,0,0,1,0,0.703009008,4.200269994,42.57717875,52.22341082,40.53,100,100,100,100,-6.808760953,1,-0.024,,,
1,1,1954,12,1,84,41,AL,100,100,1,1,1,0.105,0,Democratic incumbent,10,,27462,,27462,1,11,13,1,0,0,0,1,0,0.703009008,4.200269994,42.57717875,52.22341082,45.33,100,100,100,100,8.778685501,1,-0.023,,,
1,1,1956,13,1,85,41,AL,100,100,1,1,1,0.105,0,Democratic incumbent,11,,31469,,31469,1,12,14,1,0,0,0,1,0,0.703009008,4.200269994,42.57717875,52.22341082,78.18,100,100,100,100,-5.650539331,1,-0.021,,,
1,1,1958,14,1,86,41,AL,100,100,1,1,1,0.105,0,Democratic incumbent,12,,19499,,19499,1,13,15,1,0,0,0,1,0,0.703009008,4.200269994,42.57717875,52.22341082,11,100,100,100,100,13.50993815,1,-0.02,,,
1,1,1960,15,0,87,41,AL,100,100,1,1,,0.105,0,Democratic incumbent,13,,45225,,45225,1,14,,1,0,0,0,1,0,0.703009008,4.200269994,42.57717875,52.22341082,23.88,,,100,100,-6.19429047,1,-0.018999999,,,
1,1,1964,16,0,89,41,AL,-19.82330382,40.0883466,0,,,-0.0434,1,"open seat, new (reapportionment)",,0,54522,,91004,1,,,,,,,1,0,0.596053978,6.420973378,37.0436688,68.16830441,34.52,,,,,6.331477858,1,,,,1
1,1,1966,17,1,90,41,AL,-31.51063621,34.24468338,0,0,0,-0.0434,0,Republican incumbent,,1,58515,,88989,1,16,18,0,0,1,0,0,1,0.596053978,6.420973378,37.0436688,68.16830441,41.57,38.43524456,-18.67650151,40.0883466,-19.82330382,-10.61381827,1,0.277999997,,,-1
