ymd	num_trips	date	prcp	snwd	snow	tmax	tmin
2014-01-01	6059	20140101	0	0	0	3.3	2.4
2014-01-02	8600	20140102	0.33	0	3.1	3.3	1.8
2014-01-03	1144	20140103	0.29	5.9	3.3	1.8	0.9
2014-01-04	2292	20140104	0	5.9	0	2.9	0.8
2014-01-05	2678	20140105	0.14	3.9	0	4	2.7
2014-01-06	9510	20140106	0.36	1.2	0	5.5	1.9
2014-01-07	6267	20140107	0	0	0	1.9	0.4
2014-01-08	9246	20140108	0	0	0	2.2	0.9
2014-01-09	13354	20140109	0	0	0	3.2	2.2
2014-01-10	9847	20140110	0.11	0	0	3.7	3
2014-01-11	7695	20140111	0.5	0	0	5.8	3.7
2014-01-12	12515	20140112	0.05	0	0	5.4	3.8
2014-01-13	20633	20140113	0	0	0	5.1	3.7
2014-01-14	9999	20140114	0.38	0	0	5.2	4.4
2014-01-15	21630	20140115	0	0	0	4.7	3.9
2014-01-16	19953	20140116	0	0	0	4.2	3.6
2014-01-17	20301	20140117	0	0	0	4.4	3.3
2014-01-18	9438	20140118	0.07	0	0	4.1	2.9
2014-01-19	9028	20140119	0	0	0	3.8	2.4
2014-01-20	13407	20140120	0	0	0	4.6	3.1
2014-01-21	3804	20140121	0.46	0	11	3.1	1.1
2014-01-22	2451	20140122	0.02	11	0.5	1.7	0.5
2014-01-23	5071	20140123	0	7.1	0	2	0.7
2014-01-24	6176	20140124	0	5.9	0	2	1
2014-01-25	4338	20140125	0.04	3.9	1	2.8	1.9
2014-01-26	4980	20140126	0	3.9	0	3.4	1.7
2014-01-27	13119	20140127	0	3.1	0	4.4	2.1
2014-01-28	10033	20140128	0	1.2	0	2.1	1.2
2014-01-29	10021	20140129	0.04	2	0.8	2.3	1.4
2014-01-30	12158	20140130	0	1	0	3	1.6
2014-01-31	14653	20140131	0	1.2	0	3.9	2.5
2014-02-01	12771	20140201	0	1.2	0	4.5	3.6
2014-02-02	13816	20140202	0	1.2	0	5.6	3.9
2014-02-03	2600	20140203	1.17	1.2	8	4.3	2.7
2014-02-04	8709	20140204	0	7.9	0	3.5	2.2
2014-02-05	2746	20140205	1.43	9.1	4	3.4	2.9
2014-02-06	7196	20140206	0	9.1	0	3.2	2.1
2014-02-07	8495	20140207	0	9.1	0	3.2	2.4
2014-02-08	5986	20140208	0	9.1	0	2.9	2.1
2014-02-09	4996	20140209	0.1	7.9	1.2	3.1	2.1
2014-02-10	6846	20140210	0	9.8	0	2.9	2.1
2014-02-11	8343	20140211	0	9.8	0	2.6	1.6
2014-02-12	8580	20140212	0	9.8	0	2.5	1.3
2014-02-13	876	20140213	1.78	11.8	9.5	3.6	2.4
2014-02-14	3609	20140214	0.3	18.1	3	4	3.1
2014-02-15	2261	20140215	0.13	18.1	1.6	3.7	2.7
2014-02-16	3003	20140216	0	18.1	0	3	2.1
2014-02-17	4854	20140217	0	16.9	0	3.2	1.8
2014-02-18	5140	20140218	0.16	18.1	1.5	3.9	2.6
2014-02-19	8506	20140219	0.26	16.9	0	4.5	3.4
2014-02-20	11792	20140220	0.03	15	0	5.1	3.7
