"good","purpose","fico","dti","loan_amnt","income"
"good","debt_consolidation",737,27.65,5000,24000
"bad","major_purchase",742,1,2500,30000
"good","small_business",737,8.72,2400,NA
"good","other",692,20,10000,49200
"good","other",697,17.94,3000,80000
"good","vacation_wedding",732,11.2,5000,36000
"good","debt_consolidation",692,23.51,7000,NA
"good","major_purchase",662,5.35,3000,48000
"bad","small_business",677,5.55,5600,40000
"bad","other",727,18.08,5375,15000
"good","debt_consolidation",697,16.12,6500,NA
"good","debt_consolidation",677,10.78,12000,75000
"bad","debt_consolidation",712,10.08,9000,30000
"good","debt_consolidation",707,12.56,3000,15000
"bad","other",722,7.06,10000,1e+05
"good","debt_consolidation",667,20.31,1000,NA
"good","home_improvement",672,18.6,10000,NA
"good","major_purchase",762,10.52,3600,NA
"good","medical",687,18.44,6000,84000
"good","debt_consolidation",757,9.86,9200,NA
"good","debt_consolidation",727,26.53,20250,43370
"bad","debt_consolidation",707,13.22,21000,105000
"good","debt_consolidation",692,11.18,10000,50000
"good","debt_consolidation",712,16.01,10000,NA
"bad","major_purchase",692,2.4,6000,NA
"good","debt_consolidation",732,29.44,15000,92000
"bad","debt_consolidation",697,15.22,15000,NA
"bad","other",677,13.97,5000,NA
"good","debt_consolidation",682,5.63,4000,NA
"good","debt_consolidation",697,12.19,8500,25000
"good","debt_consolidation",737,20.34,4375,17108
"good","debt_consolidation",762,14.03,31825,75000
"good","debt_consolidation",692,22.83,10000,29120
"good","debt_consolidation",702,11.93,5000,24044
"good","debt_consolidation",677,6.35,7000,34000
"good","debt_consolidation",722,11.8,12400,NA
"good","other",707,5.5,10800,55596
"good","debt_consolidation",732,8.48,15000,45000
"good","debt_consolidation",697,10.62,6000,36852
"good","debt_consolidation",737,16.04,12500,27000
"good","other",762,6.63,9600,68004
"good","debt_consolidation",727,16.7,12000,NA
"good","other",672,17.39,3000,NA
"good","debt_consolidation",692,20.01,4400,NA
"good","debt_consolidation",792,5.34,6000,NA
"good","small_business",727,10,14000,NA
"bad","debt_consolidation",707,16.33,5000,1e+05
"good","other",702,11.47,10000,27000
"good","debt_consolidation",792,12.74,10000,NA
"good","debt_consolidation",752,10.85,11000,NA
"bad","debt_consolidation",732,9.12,15000,NA
"good","debt_consolidation",727,15.71,25600,110000
"good","debt_consolidation",702,7.38,7000,NA
"bad","major_purchase",677,20.88,12000,NA
"good","debt_consolidation",732,8.11,12000,NA
"bad","debt_consolidation",682,21.58,21000,50000
"good","debt_consolidation",667,20.52,16000,81000
"good","debt_consolidation",687,18.58,10000,NA
"good","debt_consolidation",717,19.14,10000,NA
"good","debt_consolidation",682,24,7100,33000
"good","debt_consolidation",732,13.72,13000,30000
"good","small_business",707,19.47,17500,40000
"good","debt_consolidation",722,16.46,17675,50000
"good","debt_consolidation",662,21.64,8000,NA
"good","debt_consolidation",757,21.73,10000,45996
"good","debt_consolidation",702,5.39,3500,NA
"bad","debt_consolidation",692,13.16,12500,30000
"good","debt_consolidation",697,22.71,16425,44544
"bad","small_business",677,12.48,8200,75000
"good","debt_consolidation",687,11.88,15000,61000
"good","debt_consolidation",687,18.79,20975,44000
"bad","debt_consolidation",662,20.22,6400,NA
"good","debt_consolidation",672,18.11,3000,NA
"good","debt_consolidation",677,20.57,12000,NA
"good","debt_consolidation",722,14.85,14400,150000
"good","debt_consolidation",677,16.56,12000,NA
"good","debt_consolidation",692,21.82,11000,48000
"good","debt_consolidation",682,24.82,7250,75000
"good","small_business",767,9.65,15000,NA
"good","debt_consolidation",662,6.81,18000,NA
"good","home_improvement",727,7.51,35000,150000
"good","debt_consolidation",682,15.39,10000,68000
"good","debt_consolidation",692,9.86,11800,42000
"good","major_purchase",762,4.44,4500,53000
"good","debt_consolidation",682,11.35,7000,35000
"good","debt_consolidation",702,19.96,9200,60000
"good","other",702,6.34,14000,28000
"good","major_purchase",752,5.4,4500,42000
"good","debt_consolidation",682,16.85,12000,88365
"good","debt_consolidation",687,21.33,12000,72000
"good","debt_consolidation",702,23.94,12000,62000
"good","debt_consolidation",687,5.38,7000,NA
"good","debt_consolidation",687,2.8,8200,120000
"good","medical",697,20.73,10500,66000
"good","debt_consolidation",677,21.01,7000,NA
"good","debt_consolidation",672,20.58,15300,85000
"good","debt_consolidation",742,10.04,20000,47800
"bad","debt_consolidation",702,21.31,17500,NA
"good","major_purchase",747,2.31,3500,83000
"good","major_purchase",697,13.66,6000,81000
"bad","debt_consolidation",712,20.64,6200,NA
"good","debt_consolidation",697,15.56,16000,NA
"good","debt_consolidation",702,13.17,6000,NA
"good","debt_consolidation",697,6.12,7200,NA
"good","debt_consolidation",722,8.18,9500,NA
"bad","debt_consolidation",702,23.18,18825,38000
"good","debt_consolidation",727,14.8,24000,45000
"good","debt_consolidation",667,11.58,6000,NA
"good","debt_consolidation",692,15.38,6000,NA
"good","vacation_wedding",692,19.72,2100,NA
"good","small_business",742,9.69,5500,110000
"good","debt_consolidation",737,20.5,11000,45608
"good","debt_consolidation",682,12.15,26800,120000
"good","debt_consolidation",707,10.05,8000,NA
"bad","debt_consolidation",667,24.14,10000,75000
"good","debt_consolidation",692,9.7,8000,35000
"good","debt_consolidation",712,7,10000,24000
"good","debt_consolidation",697,13.32,12000,NA
"good","debt_consolidation",732,25.26,10000,NA
"good","debt_consolidation",727,16.44,12000,NA
"bad","debt_consolidation",742,14.15,25000,67000
"bad","debt_consolidation",722,22.8,19750,45000
"good","debt_consolidation",712,14.81,10000,31200
"good","debt_consolidation",677,24.09,13650,66000
"bad","debt_consolidation",687,20.7,28000,52000
"good","debt_consolidation",722,27.55,18000,56964
"good","debt_consolidation",672,10.33,2500,49500
"good","debt_consolidation",672,23.21,21000,70000
"good","debt_consolidation",742,22.71,35000,125000
"good","debt_consolidation",747,9.75,10000,NA
"good","debt_consolidation",677,15.8,7000,30000
"bad","home_improvement",717,9.17,24000,90000
"good","medical",732,18.89,10625,NA
"good","debt_consolidation",672,18.3,5000,24000
"good","debt_consolidation",737,17.71,8850,62000
"good","debt_consolidation",732,4.8,6375,44000
"good","debt_consolidation",682,2.97,6000,NA
"bad","debt_consolidation",757,29.85,11100,41000
"good","debt_consolidation",737,10.82,10000,56000
"good","small_business",772,18.2,6200,NA
"good","debt_consolidation",662,19.69,15000,NA
"good","other",682,16.91,4200,NA
"good","debt_consolidation",682,7.36,14000,NA
"good","debt_consolidation",742,23.53,8875,NA
