country,countryCode,date
Afghanistan,AFG,2020-03-24T15:00:00Z
Albania,ALB,2020-03-11T15:00:00Z
Algeria,DZA,2020-03-22T23:00:00Z
Andorra,AND,2020-03-13T11:00:00Z
Angola,AGO,2020-03-26T23:00:00Z
Argentina,ARG,2020-03-19T07:00:00Z
Aruba,ABW,2020-03-23T15:00:00Z
Australia,AUS,2020-03-21T23:00:00Z
Austria,AUT,2020-03-10T07:00:00Z
Azerbaijan,AZE,2020-03-24T06:40:00Z
Bahrain,BHR,2020-03-17T23:00:00Z
Bangladesh,BGD,2020-03-18T23:00:00Z
Barbados,BRB,2020-03-23T23:00:00Z
Belgium,BEL,2020-03-14T23:00:00Z
Belize,BLZ,2020-04-14T06:20:00Z
Benin,BEN,2020-03-29T22:00:00Z
Bermuda,BMU,2020-03-29T22:20:00Z
Bhutan,BTN,2020-03-26T23:00:00Z
Bolivia,BOL,2020-03-17T23:00:00Z
Bosnia and Herzegovina,BIH,2020-03-17T15:00:00Z
Botswana,BWA,2020-03-27T06:20:00Z
Brazil,BRA,2020-03-14T07:00:00Z
Brunei,BRN,2020-04-10T22:00:00Z
Bulgaria,BGR,2020-03-16T07:00:00Z
Burkina Faso,BFA,2020-03-20T23:00:00Z
Cameroon,CMR,2020-03-17T23:00:00Z
Canada,CAN,2020-03-17T07:00:00Z
Cape Verde,CPV,2020-03-22T15:00:00Z
Central African Republic,CAF,2020-03-25T23:00:00Z
Chad,TCD,2020-04-09T06:00:00Z
Chile,CHL,2020-03-21T23:00:00Z
China,CHN,2020-01-23T23:00:00Z
Colombia,COL,2020-03-14T23:00:00Z
Congo,COG,2020-03-27T23:00:00Z
Costa Rica,CRI,2020-03-28T06:40:00Z
Cote d'Ivoire,CIV,2020-03-21T23:00:00Z
Croatia,HRV,2020-03-19T23:00:00Z
Cuba,CUB,2020-03-28T06:40:00Z
Cyprus,CYP,2020-03-21T07:00:00Z
Czech Republic,CZE,2020-03-14T15:00:00Z
Democratic Republic of Congo,COD,2020-03-21T15:00:00Z
Denmark,DNK,2020-03-08T23:00:00Z
Djibouti,DJI,2020-03-22T15:00:00Z
Dominica,DMA,2020-03-31T22:00:00Z
Dominican Republic,DOM,2020-03-18T15:00:00Z
Ecuador,ECU,2020-03-16T23:00:00Z
Egypt,EGY,2020-03-21T07:00:00Z
El Salvador,SLV,2020-03-18T07:00:00Z
Estonia,EST,2020-03-22T15:00:00Z
Ethiopia,ETH,2020-03-29T22:40:00Z
Finland,FIN,2020-03-14T15:00:00Z
France,FRA,2020-03-15T23:00:00Z
Gabon,GAB,2020-04-02T22:20:00Z
Gambia,GMB,2020-03-17T23:00:00Z
Georgia,GEO,2020-03-14T23:00:00Z
Germany,DEU,2020-03-16T07:00:00Z
Ghana,GHA,2020-03-29T22:00:00Z
Greece,GRC,2020-03-18T15:00:00Z
Greenland,GRL,2020-03-16T07:00:00Z
Guam,GUM,2020-03-15T23:00:00Z
Guatemala,GTM,2020-03-14T23:00:00Z
Guyana,GUY,2020-03-21T15:00:00Z
Honduras,HND,2020-03-15T23:00:00Z
Hong Kong,HKG,2020-02-18T23:00:00Z
Hungary,HUN,2020-03-12T23:00:00Z
