year,month,search
2004,01,32
2004,02,16
2004,03,20
2004,04,46
2004,05,14
2004,06,14
2004,07,15
2004,08,0
2004,09,13
2004,10,26
2004,11,53
2004,12,18
2005,01,10
2005,02,11
2005,03,28
2005,04,16
2005,05,19
2005,06,10
2005,07,20
2005,08,28
2005,09,9
2005,10,12
2005,11,33
2005,12,16
2006,01,0
2006,02,14
2006,03,19
2006,04,33
2006,05,63
2006,06,17
2006,07,16
2006,08,12
2006,09,21
2006,10,49
2006,11,19
2006,12,25
2007,01,26
2007,02,13
2007,03,9
2007,04,16
2007,05,38
2007,06,7
2007,07,11
2007,08,27
2007,09,12
2007,10,16
2007,11,33
2007,12,26
2008,01,28
2008,02,29
2008,03,28
2008,04,28
2008,05,23
2008,06,7
2008,07,18
2008,08,15
2008,09,19
2008,10,11
2008,11,19
2008,12,17
2009,01,12
2009,02,15
2009,03,15
2009,04,17
2009,05,14
2009,06,10
2009,07,13
2009,08,8
2009,09,8
2009,10,24
2009,11,21
2009,12,14
2010,01,12
2010,02,10
2010,03,17
2010,04,41
2010,05,55
2010,06,29
2010,07,17
2010,08,13
2010,09,15
2010,10,16
2010,11,17
2010,12,13
2011,01,9
2011,02,19
2011,03,10
2011,04,17
2011,05,10
2011,06,8
2011,07,10
2011,08,6
2011,09,9
2011,10,15
2011,11,13
2011,12,9
2012,01,13
2012,02,11
2012,03,11
2012,04,16
2012,05,10
2012,06,12
2012,07,6
2012,08,7
2012,09,8
2012,10,11
2012,11,6
2012,12,9
2013,01,12
2013,02,7
2013,03,11
2013,04,12
2013,05,11
2013,06,10
2013,07,6
2013,08,7
2013,09,10
2013,10,12
2013,11,12
2013,12,12
2014,01,7
2014,02,10
2014,03,8
2014,04,11
2014,05,16
2014,06,7
2014,07,14
2014,08,12
2014,09,10
2014,10,13
2014,11,8
2014,12,10
2015,01,8
2015,02,8
2015,03,13
2015,04,14
2015,05,11
2015,06,10
2015,07,72
2015,08,36
2015,09,21
2015,10,21
2015,11,20
2015,12,11
2016,01,19
2016,02,20
2016,03,30
2016,04,21
2016,05,27
2016,06,21
2016,07,24
2016,08,18
2016,09,26
2016,10,28
2016,11,48
2016,12,22
2017,01,57
2017,02,100
2017,03,74
2017,04,32
2017,05,31
2017,06,17
2017,07,21
2017,08,17
2017,09,21
2017,10,16
2017,11,25
2017,12,38
2018,01,50
2018,02,39
2018,03,27
2018,04,24
2018,05,24
2018,06,90
2018,07,35
2018,08,72
2018,09,27
2018,10,31
2018,11,39
2018,12,39
2019,01,96
2019,02,46
2019,03,31
2019,04,30
2019,05,23
2019,06,20
2019,07,26
2019,08,24
2019,09,21
2019,10,21
