year,month,search
2004,01,22
2004,02,37
2004,03,42
2004,04,49
2004,05,49
2004,06,20
2004,07,51
2004,08,18
2004,09,52
2004,10,41
2004,11,55
2004,12,44
2005,01,24
2005,02,23
2005,03,26
2005,04,39
2005,05,48
2005,06,41
2005,07,27
2005,08,30
2005,09,31
2005,10,33
2005,11,28
2005,12,32
2006,01,35
2006,02,33
2006,03,46
2006,04,91
2006,05,84
2006,06,21
2006,07,30
2006,08,16
2006,09,24
2006,10,37
2006,11,40
2006,12,25
2007,01,22
2007,02,28
2007,03,36
2007,04,34
2007,05,25
2007,06,27
2007,07,14
2007,08,35
2007,09,39
2007,10,25
2007,11,36
2007,12,39
2008,01,24
2008,02,46
2008,03,35
2008,04,43
2008,05,33
2008,06,22
2008,07,24
2008,08,15
2008,09,19
2008,10,30
2008,11,29
2008,12,18
2009,01,20
2009,02,33
2009,03,30
2009,04,41
2009,05,31
2009,06,17
2009,07,18
2009,08,18
2009,09,26
2009,10,45
2009,11,25
2009,12,20
2010,01,21
2010,02,27
2010,03,28
2010,04,43
2010,05,42
2010,06,29
2010,07,20
2010,08,26
2010,09,23
2010,10,26
2010,11,30
2010,12,29
2011,01,25
2011,02,19
2011,03,24
2011,04,31
2011,05,26
2011,06,21
2011,07,17
2011,08,15
2011,09,23
2011,10,27
2011,11,32
2011,12,18
2012,01,20
2012,02,27
2012,03,19
2012,04,26
2012,05,21
2012,06,20
2012,07,14
2012,08,18
2012,09,17
2012,10,27
2012,11,24
2012,12,17
2013,01,23
2013,02,24
2013,03,22
2013,04,28
2013,05,25
2013,06,24
2013,07,17
2013,08,15
2013,09,17
2013,10,24
2013,11,19
2013,12,23
2014,01,19
2014,02,23
2014,03,26
2014,04,24
2014,05,17
2014,06,26
2014,07,33
2014,08,17
2014,09,31
2014,10,31
2014,11,39
2014,12,23
2015,01,24
2015,02,23
2015,03,24
2015,04,24
2015,05,19
2015,06,16
2015,07,26
2015,08,33
2015,09,44
2015,10,36
2015,11,28
2015,12,25
2016,01,25
2016,02,28
2016,03,35
2016,04,41
2016,05,34
2016,06,30
2016,07,27
2016,08,22
2016,09,32
2016,10,33
2016,11,57
2016,12,24
2017,01,47
2017,02,100
2017,03,48
2017,04,28
2017,05,33
2017,06,27
2017,07,28
2017,08,26
2017,09,33
2017,10,31
2017,11,26
2017,12,26
2018,01,55
2018,02,38
2018,03,36
2018,04,34
2018,05,31
2018,06,91
2018,07,43
2018,08,38
2018,09,41
2018,10,55
2018,11,62
2018,12,69
2019,01,81
2019,02,51
2019,03,32
2019,04,45
2019,05,38
2019,06,45
2019,07,46
2019,08,43
2019,09,33
2019,10,36
