"","date","search","search_adj"
"1",2004-01-02,0,0
"2",2004-01-03,0,0
"3",2004-01-07,43,102.18885486834
"4",2004-01-01,0,0
"5",2004-01-06,0,0
"6",2004-01-05,0,0
"7",2004-01-04,72,171.106919779547
"8",2005-01-05,47,38.5733174034249
"9",2005-01-03,100,82.0708880923935
"10",2005-01-07,49,40.2147351652728
"11",2005-01-04,0,0
"12",2005-01-01,0,0
"14",2005-01-06,47,38.5733174034249
"15",2005-01-02,0,0
"16",2006-01-06,41,35.5098071670943
"17",2006-01-03,52,45.0368286021683
"18",2006-01-04,38,32.9115285938922
"19",2006-01-02,52,45.0368286021683
"20",2006-01-05,39,33.7776214516263
"21",2006-01-01,53,45.9029214599023
"22",2006-01-07,59,51.0994786063064
"24",2007-01-07,42,59.3215971175123
"25",2007-01-04,29,40.9601503906632
"26",2007-01-06,42,59.3215971175123
"27",2007-01-03,0,0
"28",2007-01-02,60,84.7451387393033
"29",2007-01-05,0,0
"30",2007-01-01,50,70.6209489494194
"32",2008-01-01,56,123.985339181638
"33",2008-01-03,28,61.992669590819
"34",2008-01-06,40,88.5609565583128
"35",2008-01-07,0,0
"36",2008-01-04,28,61.992669590819
"37",2008-01-05,39,86.346932644355
"39",2008-01-02,43,95.2030283001863
"40",2009-01-07,23,16.8243831640058
"41",2009-01-03,57,41.6952104499274
"42",2009-01-01,53,38.7692307692308
"44",2009-01-02,29,21.2133526850508
"45",2009-01-05,24,17.55587808418
"46",2009-01-04,52,38.0377358490566
"47",2009-01-06,46,33.6487663280116
"48",2010-01-04,19,25.3395212506106
"49",2010-01-07,28,37.342452369321
"50",2010-01-06,19,25.3395212506106
"51",2010-01-05,18,24.0058622374206
"52",2010-01-03,27,36.0087933561309
"53",2010-01-01,100,133.365901319003
"54",2010-01-02,56,74.6849047386419
"56",2011-01-05,50,48.8727272727273
"57",2011-01-06,38,37.1432727272727
"58",2011-01-03,39,38.1207272727273
"59",2011-01-02,25,24.4363636363636
"60",2011-01-04,28,27.3687272727273
"61",2011-01-07,29,28.3461818181818
"62",2011-01-01,39,38.1207272727273
"64",2012-01-04,76,84.4988448551626
"65",2012-01-05,51,56.7031722054381
"66",2012-01-03,77,85.6106717611516
"67",2012-01-01,25,27.7956726497245
"69",2012-01-06,19,21.1247112137907
"70",2012-01-07,46,51.1440376754932
"71",2012-01-02,35,38.9139417096144
"72",2013-01-05,48,48.2961498605022
"73",2013-01-03,70,70.4318852132324
"74",2013-01-06,41,41.252961339179
"75",2013-01-04,41,41.252961339179
"76",2013-01-01,67,67.413375846951
"77",2013-01-02,35,35.2159426066162
"78",2013-01-07,23,23.1419051414906
"80",2014-01-05,32,36.6443257244617
"81",2014-01-01,36,41.2248664400194
"82",2014-01-02,36,41.2248664400194
"83",2014-01-07,27,30.9186498300146
"84",2014-01-04,49,56.111623765582
"86",2014-01-06,47,53.8213534078031
"87",2014-01-03,14,16.031892504452
"88",2015-01-01,78,57.8275862068966
"89",2015-01-05,50,37.0689655172414
"90",2015-01-07,33,24.4655172413793
"91",2015-01-02,51,37.8103448275862
"93",2015-01-06,98,72.6551724137931
"94",2015-01-04,47,34.8448275862069
"95",2015-01-03,49,36.3275862068966
"96",2016-01-07,57,52.5168997460567
"97",2016-01-04,100,92.1349118351872
"98",2016-01-03,42,38.6966629707786
"99",2016-01-05,64,58.9663435745198
"100",2016-01-02,43,39.6180120891305
"101",2016-01-01,50,46.0674559175936
"102",2016-01-06,29,26.7191244322043
"104",2017-01-06,30,37.89592760181
"105",2017-01-01,33,41.6855203619909
"106",2017-01-03,50,63.1598793363499
"107",2017-01-05,21,26.527149321267
"108",2017-01-02,19,24.000754147813
"109",2017-01-04,18,22.737556561086
"111",2017-01-07,41,51.7911010558069
"112",2018-01-01,24,64.1767955801105
"113",2018-01-06,44,117.657458563536
"114",2018-01-03,77,205.900552486188
"115",2018-01-05,45,120.331491712707
"116",2018-01-02,23,61.5027624309392
"117",2018-01-07,44,117.657458563536
"118",2018-01-04,49,131.027624309392
"120",2019-01-02,24,49.6437600551597
"121",2019-01-07,46,95.1505401057228
"122",2019-01-06,67,138.588830153988
"123",2019-01-04,40,82.7396000919329
"124",2019-01-05,58,119.972420133303
"125",2019-01-03,31,64.123190071248
"126",2019-01-01,30,62.0547000689497
"128",2020-01-01,40,39.4754098360656
"129",2004-03-04,0,0
"130",2004-03-06,100,265.362731152205
"131",2004-03-07,0,0
"132",2004-03-10,52,137.988620199147
"133",2004-03-09,0,0
"134",2004-03-08,0,0
"135",2004-03-05,0,0
"136",2005-03-10,0,0
"137",2005-03-06,73,147.60003398182
"138",2005-03-11,0,0
"139",2005-03-05,0,0
"140",2005-03-07,0,0
"141",2005-03-08,42,84.9205674963894
"142",2005-03-09,43,86.942485770113
"143",2006-03-07,34,32.1694075242172
"144",2006-03-10,37,35.0078846587069
"145",2006-03-11,55,52.0387474656454
"146",2006-03-08,34,32.1694075242172
"147",2006-03-09,52,49.2002703311557
"148",2006-03-06,34,32.1694075242172
"149",2006-03-05,53,50.1464293759856
"150",2007-03-07,26,24.2489408327246
"151",2007-03-11,40,37.3060628195763
"152",2007-03-06,77,71.8141709276844
"153",2007-03-05,26,24.2489408327246
"154",2007-03-08,26,24.2489408327246
"155",2007-03-09,27,25.181592403214
"156",2007-03-10,0,0
"157",2008-03-09,37,30.7834142831445
"158",2008-03-04,100,83.1984169814715
"159",2008-03-10,76,63.2307969059183
"160",2008-03-08,0,0
"161",2008-03-06,52,43.2631768303652
"162",2008-03-07,0,0
"163",2008-03-05,62,51.5830185285123
"164",2009-03-11,54,78.610658928445
"165",2009-03-08,0,0
"166",2009-03-06,35,50.9513530091773
"167",2009-03-10,43,62.5973765541322
"168",2009-03-07,0,0
"169",2009-03-09,44,64.0531294972515
"170",2009-03-05,37,53.8628588954161
"171",2010-03-08,27,43.7796610169492
"172",2010-03-09,17,27.5649717514124
"173",2010-03-05,19,30.8079096045198
"174",2010-03-11,35,56.7514124293785
"175",2010-03-10,26,42.1581920903955
"176",2010-03-07,27,43.7796610169492
"177",2010-03-06,26,42.1581920903955
"178",2011-03-10,41,36.2238504831687
"179",2011-03-11,52,45.9424445152384
"180",2011-03-06,45,39.7578846766486
"181",2011-03-08,35,30.9227991929489
"182",2011-03-07,18,15.9031538706594
"183",2011-03-09,43,37.9908675799087
"184",2011-03-05,67,59.1950727407879
"185",2012-03-04,37,52.6503638160987
"186",2012-03-05,58,82.5330027387493
"187",2012-03-07,54,76.8410715153872
"188",2012-03-10,37,52.6503638160987
"189",2012-03-06,42,59.7652778453012
"190",2012-03-09,37,52.6503638160987
"191",2012-03-08,42,59.7652778453012
"192",2013-03-11,49,48.8405717628135
"193",2013-03-08,39,38.8731081377495
"194",2013-03-06,54,53.8243035753455
"195",2013-03-09,21,20.9316736126344
"196",2013-03-10,30,29.9023908751919
"197",2013-03-07,33,32.8926299627111
"198",2013-03-05,56,55.8177963003583
"199",2014-03-11,47,44.476142512936
"200",2014-03-08,41,38.7983370857527
"201",2014-03-07,63,59.6169569854248
"202",2014-03-09,17,16.0871153770194
"203",2014-03-10,20,18.9260180906111
"204",2014-03-06,27,25.5501244223249
"205",2014-03-05,46,43.5298416084054
"206",2015-03-07,64,47.2908471020194
"207",2015-03-11,38,28.078940466824
"208",2015-03-08,24,17.7340676632573
"209",2015-03-06,58,42.8573301862051
"210",2015-03-05,62,45.8130081300813
"211",2015-03-10,56,41.379491214267
"212",2015-03-09,70,51.7243640178337
"213",2016-03-09,48,41.6266131344996
"214",2016-03-10,48,41.6266131344996
"215",2016-03-06,24,20.8133065672498
"216",2016-03-08,47,40.7593920275308
"217",2016-03-04,55,47.6971608832808
"218",2016-03-07,54,46.829939776312
